"COD_DANE12","COLEGIO_SE","X","Y","P_Puntaje_2021","EVALUADOS_2021","Sector","CALENDARIO","GENERO","COD_LOCA","NATU_JUR","CLASE_TIPO","Categoria","Thombre_aprob","Tmujer_aprob","Thombre","Tmujer","ESTRATO","DENSITY","P_Puntaje_2019","EVALUADOS_2019","P_Puntaje_2020","EVALUADOS_2020","P_Puntaje_2022","EVALUADOS_2022"
311001090807,"COLEGIO PSICOPEDAGOGICO VILLAVERDE",-8250271.1364,501976.399,305.3846154,15,1,1,5,5,13,1,2,86.81,89.78,1.24,1.03,2,176.042047774,285,18,263.0769231,14,295,13
311001090866,"COLEGIO CIUDAD DE FOMEQUE",-8257183.0983,517158.817600001,271.1538462,12,1,1,5,8,13,1,3,85.22,88.65,0.77,0.71,2,548.796445738,268.4615385,21,262.6923077,15,275.7692308,16
311001090912,"COLEGIO CRISTIANO SEMILLA DE VIDA",-8249249.9015,512752.497900002,300,57,1,1,5,16,3,1,1,84.59,87.95,1.74,1.17,3,237.134316238,304.2307692,47,300.3846154,49,310,52
311001091081,"GIMNASIO INTEGRAL GUATIQUIA",-8254618.3017,509945.060899999,257.3076923,18,1,1,5,19,13,1,3,86.09,89.85,1.84,1.42,2,198.364685823,265.3846154,17,267.3076923,22,266.5384615,21
311001091129,"COLEGIO HOGAR DE NAZARETH",-8249373.229,528953.25,296.9230769,57,1,1,5,11,3,1,2,89.36,91.61,2.38,1.86,2,425.30735871,285,69,284.6153846,62,285.7692308,66
311001091234,"LICEO COMERCIAL NUEVO ALEJANDRINO",-8250662.587,505876.4265,246.9230769,11,1,1,5,5,13,1,4,85.98,90.14,3.24,1.96,2,125.347688223,261.5384615,17,259.2307692,4,252.3076923,6
311001091293,"COLEGIO COLOMBO FLORIDA BILINGÜE",-8248801.8372,510300.727899998,294.2307692,38,1,1,5,18,15,1,2,86.88,91.34,1.16,0.9,3,235.877289564,298.4615385,27,282.6923077,30,288.0769231,32
311001091838,"COLEGIO TRIANGULO PATIO BONITO",-8255856.9281,516589.4113,229.2307692,12,1,1,5,8,13,1,5,85.22,88.65,0.77,0.71,2,548.796445738,225.1923077,0,242.3076923,0,235.3846154,14
311001091846,"CENTRO EDUCATIVO EXTERNADO SIMON BOLIVAR",-8257624.0448,512950.713599999,232.1374527,61,1,1,5,7,15,1,4,87.89,89.97,0.63,0.58,2,309.569740428,216.6701317,80,229.6153846,32,236.1692308,50
311001091862,"COLEGIO DE ADMINISTRACION ROBERT OWEN",-8249696.3149,506860.596299998,245.7692308,59,1,1,5,18,13,1,3,84.68,87.91,1.28,0.76,2,374.543896683,238.8461538,81,255.7692308,87,247.3076923,42
311001092214,"GIMNASIO MAYOR DE OCCIDENTE",-8252161.7544,524356.584600002,291.1538462,75,1,1,5,10,15,1,1,92.34,94.37,1.38,0.86,2,222.634971795,296.1538462,63,280.7692308,62,293.4615385,74
311001092222,"COLEGIO VAN LEEUWENHOEK",-8250840.1761,528979.143100001,256.5384615,23,1,1,5,11,15,1,3,88.41,91.53,1.65,1.17,2,306.418065453,262.6923077,10,248.0769231,13,267.3076923,17
311001092290,"INSTITUCION EDUCATIVA SAN NICOLAS LTDA",-8254250.0902,515373.774,243.0769231,37,1,1,5,8,15,1,4,80.82,83.88,1.97,1.42,3,285.522465006,235.3846154,0,250.7692308,25,226.9230769,11
311001092397,"LICEO CARMELITA",-8256933.372,513317.678199999,285.3846154,35,1,1,5,8,13,1,2,89.77,90.93,0.77,0.34,2,342.204666539,270.7692308,33,277.3076923,28,287.3076923,35
311001092435,"CENTRO EDUCATIVO LIBERTAD",-8245857.1116,511871.199,283.8461538,24,1,1,5,17,15,1,1,90.04,91.9,1.49,0.78,2,116.952210302,292.3076923,21,314.6153846,22,300.3846154,30
311001092478,"GIMNASIO OBREGON",-8255217.4343,511621.401099999,318.4615385,55,1,1,5,19,15,1,1,86.09,89.85,1.84,1.42,3,198.364685823,306.9230769,46,301.1538462,51,305.7692308,47
311001092541,"LICEO LORD SINCLER LOS CAMINOS DEL SABER",-8250387.7792,507621.647,295,9,1,1,5,18,13,1,2,91.25,93.89,0.77,0.98,2,265.825454295,276.1538462,14,290.7692308,12,293.4615385,13
311001092656,"COLEGIO COLOMBO BRIGHTON",-8244175.4359,529176.912300002,245.7692308,8,1,1,5,11,13,1,3,85.16,85.75,2.36,1.58,3,175.654664276,246.5384615,7,270,16,285.3846154,14
311001092753,"GIMNASIO CRISTIANO ADONAI SAS",-8244291.1959,531492.180300001,317.3076923,15,1,1,5,11,15,1,1,0,0,0.93,1.55,5,109.005077287,322.3076923,17,320.3846154,8,325.3846154,11
311001092818,"NUEVO LICEO SANTA CLARA",-8251077.2187,508049.482799999,253.4615385,23,1,1,5,18,13,1,4,91.25,93.89,0.77,0.98,2,265.825454295,244.2307692,28,243.8461538,18,245.7692308,12
311001092907,"LICEO FESAN",-8248265.6813,530123.7031,279.6153846,99,1,1,5,11,15,1,2,88.88,91.38,1.68,0.95,2,206.323735184,273.0769231,76,275.3846154,94,284.6153846,97
311001093041,"INSTITUTO PEDAGOGICO PARA EL DESARROLLO INTEGRAL CREAR",-8251047.532,515398.963500001,310.3846154,31,1,1,5,16,15,1,1,83.87,86.73,2.25,2.06,3,233.05811403,307.3076923,27,292.3076923,29,310,30
311001093121,"LICEO LA NUEVA ESTANCIA DE SUBA",-8250402.3343,528461.9694,288.4615385,38,1,1,5,11,15,1,2,88.41,91.53,1.65,1.17,2,306.418065453,290.7692308,35,277.3076923,35,287.6923077,30
311001093130,"COLEGIO BILINGUE MAXIMINO POITIERS",-8247796.0889,529561.651900001,300.3846154,78,1,1,5,11,15,1,2,88.88,91.38,1.68,0.95,3,206.323735184,293.8461538,53,296.1538462,63,302.3076923,64
311001093253,"COLEGIO MAYOR DEL CLARET",-8251631.1567,510930.0222,280.7692308,20,1,1,5,18,13,1,2,85.55,88.15,2.43,1.92,3,226.849943649,290.7692308,22,286.5384615,24,293.4615385,31
311001093598,"LICEO PEDAGOGICO CATHERBLANC S.A.S.",-8247195.4813,529917.577599999,281.9230769,21,1,1,5,11,13,1,2,88.88,91.38,1.68,0.95,2,206.323735184,270.3846154,26,268.4615385,16,278.0769231,31
311001093601,"LICEO MATOVELLE",-8244303.706,530216.797899999,319.2307692,15,1,1,5,11,3,1,1,0,0,0.93,1.55,5,109.005077287,318.4615385,19,333.0769231,15,323.8461538,33
311001093652,"COLEGIO AGUSTINIANO CIUDAD SALITRE",-8250265.1096,518828.350400001,341.9230769,223,1,1,5,9,3,1,1,0,0,0,0,4,182.125705134,344.2307692,156,329.2307692,199,334.6153846,204
311001093831,"COLEGIO CRISTIANO KABOD",-8248672.5986,527649.7128,290.3846154,17,1,1,5,11,13,1,1,89.36,91.61,2.38,1.86,3,425.30735871,296.5384615,21,286.1538462,18,311.5384615,8
